"acce.roundNo","turtle.ID","sex","cl","time","date","hour","month","year","julian","x","y","z","ODBA","airTemp","waterTemp","rainfall","roll_sum_24h","heavyRain","acce.netWeight"
1,607,"F",141.3,"2020-10-13 20:15:00",2020-10-13,20,10,"2020",287,0,-0.00135243716786684,0.00190716672650265,0.00864355913184042,20.9375,21,3,35,"yes",30
1,331,"M",192,"2020-10-13 20:30:00",2020-10-13,20,10,"2020",287,0.00555970721986346,-0.00546897763694638,0.0039864188545829,0.0180843001399642,20.9375,21,3,35,"yes",41
1,607,"F",141.3,"2020-10-13 20:30:00",2020-10-13,20,10,"2020",287,-0.00134984644261987,-0.00189107225240041,0.00221659308573369,0.0130618215335012,20.9375,21,3,35,"yes",30
1,331,"M",192,"2020-10-13 20:45:00",2020-10-13,20,10,"2020",287,0,0.00771638029938809,0,0.00771638029938809,20.9375,21,3,35,"yes",41
1,607,"F",141.3,"2020-10-13 20:45:00",2020-10-13,20,10,"2020",287,0.00082416769428487,0,0,0.00544656352761821,20.9375,21,3,35,"yes",30
1,331,"M",192,"2020-10-13 21:00:00",2020-10-13,21,10,"2020",287,-0.000538635084533501,0.000538635084533515,0.000538635084533501,0.00601043650360052,20.9375,21,4.5,39.5,"yes",41
1,607,"F",141.3,"2020-10-13 21:00:00",2020-10-13,21,10,"2020",287,0.000575837465485899,0,0.00169288990089769,0.00955967860264731,20.9375,21,4.5,39.5,"yes",30
1,331,"M",192,"2020-10-13 21:15:00",2020-10-13,21,10,"2020",287,0,0,0.000834089827655969,0.00325721816990195,20.9375,21,4.5,39.5,"yes",41
1,607,"F",141.3,"2020-10-13 21:15:00",2020-10-13,21,10,"2020",287,0,0,0.000764345246767134,0.0064183917211261,20.9375,21,4.5,39.5,"yes",30
1,331,"M",192,"2020-10-13 21:30:00",2020-10-13,21,10,"2020",287,-0.000919086881000952,0.000982665338134084,-0.000258890957133134,0.0165052124524781,20.9375,21,4.5,39.5,"yes",41
1,607,"F",141.3,"2020-10-13 21:30:00",2020-10-13,21,10,"2020",287,-0.000813415036760628,-0.00484643012216542,0,0.00840810792557117,20.9375,21,4.5,39.5,"yes",30
1,331,"M",192,"2020-10-13 21:45:00",2020-10-13,21,10,"2020",287,0.000538635084533501,0,-6.35784571331455e-05,0.00361400752025751,20.9375,21,4.5,39.5,"yes",41
1,607,"F",141.3,"2020-10-13 21:45:00",2020-10-13,21,10,"2020",287,-0.00111619337693557,0,0,0.00611776732382201,20.9375,21,4.5,39.5,"yes",30
1,331,"M",192,"2020-10-13 22:00:00",2020-10-13,22,10,"2020",287,-0.00138515726894636,-4.13919847513655e-05,0.00100579487786517,0.0134452353202353,21,21,1.5,41,"yes",41
1,607,"F",141.3,"2020-10-13 22:00:00",2020-10-13,22,10,"2020",287,-0.00266927083333333,0.00658009796193387,-0.00175781250000001,0.0127742943905053,21,21,1.5,41,"yes",30
1,331,"M",192,"2020-10-13 22:15:00",2020-10-13,22,10,"2020",287,0,0,0,0,20.9375,21,1.5,41,"yes",41
1,607,"F",141.3,"2020-10-13 22:15:00",2020-10-13,22,10,"2020",287,0.000433664642649018,0,0,0.00132414785735098,20.9375,21,1.5,41,"yes",30
1,331,"M",192,"2020-10-13 22:30:00",2020-10-13,22,10,"2020",287,0.000864155917866843,5.86869727494943e-05,-0.000262839374167489,0.0151895169717435,20.9375,21,1.5,41,"yes",41
1,607,"F",141.3,"2020-10-13 22:30:00",2020-10-13,22,10,"2020",287,0,0,0,0,20.9375,21,1.5,41,"yes",30
