"ID","acce.roundNo","turtle.ID","sex","cl","time","date","hour","month","year","julian","x","y","z","ODBA","airTemp","waterTemp","rainfall","roll_sum_24h","heavyRain","acce.netWeight","ID_old","ODBA.scaled","state"
"331-1-1","1","331","M",192,"2020-10-13 16:45:00",2020-10-13,16,10,2020,287,-0.00989583333333321,0.00989583333333333,0,0.0197916666666665,-0.0905203127137434,0.136014053308673,1.77336946610252,0.808702664790395,"no",0.771534170892113,"331-1",-3.87320301357857,1
"331-1-1","1","331","M",192,"2020-10-13 17:00:00",2020-10-13,17,10,2020,287,-0.0265732151962621,0.0122620435120435,0.0214158779588467,0.271386247216325,-0.0905203127137434,0.136014053308673,1.5017495964388,0.984986343315832,"no",0.771534170892113,"331-1",-1.30053419343974,2
"331-1-1","1","331","M",192,"2020-10-13 17:15:00",2020-10-13,17,10,2020,287,-0.00395224350302475,0.00444982534826285,0,0.0115053674623987,-0.0905203127137434,0.136014053308673,1.5017495964388,0.984986343315832,"no",0.771534170892113,"331-1",-4.38159732984649,1
"331-1-1","1","331","M",192,"2020-10-13 17:30:00",2020-10-13,17,10,2020,287,0.000864155917866843,0,0,0.00216623925120016,-0.0905203127137434,0.136014053308673,1.5017495964388,0.984986343315832,"no",0.771534170892113,"331-1",-5.75521075145868,1
"331-1-1","1","331","M",192,"2020-10-13 17:45:00",2020-10-13,17,10,2020,287,0,0.00205535837860057,0,0.00544077504526724,-0.0905203127137434,0.136014053308673,1.5017495964388,0.984986343315832,"no",0.771534170892113,"331-1",-5.04510639746321,1
"331-1-1","1","331","M",192,"2020-10-13 18:00:00",2020-10-13,18,10,2020,287,0.00182472150245594,0,0,0.00573097150245588,-0.0905203127137434,0.136014053308673,1.77336946610252,1.19065063492884,"no",0.771534170892113,"331-1",-5.00103579173821,1
"331-1-1","1","331","M",192,"2020-10-13 18:15:00",2020-10-13,18,10,2020,287,-0.00185573432643746,0,0,0.00651110499743315,-0.0905203127137434,0.136014053308673,1.77336946610252,1.19065063492884,"no",0.771534170892113,"331-1",-4.89137268722098,1
"331-1-1","1","331","M",192,"2020-10-13 18:30:00",2020-10-13,18,10,2020,287,-0.00135243716786684,-0.00084635416666666,0.00020308738570457,0.00481145915716227,-0.0905203127137434,0.136014053308673,1.77336946610252,1.19065063492884,"no",0.771534170892113,"331-1",-5.14792359383909,1
"331-1-1","1","331","M",192,"2020-10-13 18:45:00",2020-10-13,18,10,2020,287,-0.000294494459533501,4.57767059329484e-05,0.00346832258453356,0.0108412962905151,-0.0905203127137434,0.136014053308673,1.77336946610252,1.19065063492884,"no",0.771534170892113,"331-1",-4.43616217152301,1
"331-1-1","1","331","M",192,"2020-10-13 19:00:00",2020-10-13,19,10,2020,287,-0.000575837465485868,-9.91819595335397e-05,-9.91819595335119e-05,0.00668007936074343,-0.117439270608377,0.136014053308673,2.85984894475741,1.51383737889215,"yes",0.771534170892113,"331-1",-4.86912539844581,1
"331-1-1","1","331","M",192,"2020-10-13 19:15:00",2020-10-13,19,10,2020,287,0,0,0,0,-0.117439270608377,0.136014053308673,2.85984894475741,1.51383737889215,"yes",0.771534170892113,"331-1",-6.90775527898214,1
"331-1-1","1","331","M",192,"2020-10-13 19:30:00",2020-10-13,19,10,2020,287,-0.000289770992896066,0,0,0.00596313408813415,-0.198196144292279,0.136014053308673,2.85984894475741,1.51383737889215,"yes",0.771534170892113,"331-1",-4.96712560597116,1
"331-1-1","1","331","M",192,"2020-10-13 19:45:00",2020-10-13,19,10,2020,287,0,0,0.000482105242847475,0.0027545019000097,-0.171277186397645,0.136014053308673,2.85984894475741,1.51383737889215,"yes",0.771534170892113,"331-1",-5.58479965236248,1
"331-1-1","1","331","M",192,"2020-10-13 20:00:00",2020-10-13,20,10,2020,287,0.000498465293387151,-0.000911458333333337,0,0.00656569450514766,-0.0636013548191095,0.136014053308673,1.5017495964388,1.69012105741758,"yes",0.771534170892113,"331-1",-4.88413113091299,1
"331-1-1","1","331","M",192,"2020-10-13 20:15:00",2020-10-13,20,10,2020,287,-0.0789576417506105,0.0129883977784369,-0.0134655871472278,0.112545958273497,-0.0905203127137434,0.136014053308673,1.5017495964388,1.69012105741758,"yes",0.771534170892113,"331-1",-2.17554760530891,2
"331-1-1","1","331","M",192,"2020-10-13 20:30:00",2020-10-13,20,10,2020,287,0.00555970721986346,-0.00546897763694638,0.0039864188545829,0.0180843001399642,-0.0905203127137434,0.136014053308673,1.5017495964388,1.69012105741758,"yes",0.771534170892113,"331-1",-3.95888926414299,1
"331-1-1","1","331","M",192,"2020-10-13 20:45:00",2020-10-13,20,10,2020,287,0,0.00771638029938809,0,0.00771638029938809,-0.0905203127137434,0.136014053308673,1.5017495964388,1.69012105741758,"yes",0.771534170892113,"331-1",-4.74255123052165,1
"331-1-1","1","331","M",192,"2020-10-13 21:00:00",2020-10-13,21,10,2020,287,-0.000538635084533501,0.000538635084533515,0.000538635084533501,0.00601043650360052,-0.0905203127137434,0.136014053308673,2.31660920542996,1.95454657520574,"yes",0.771534170892113,"331-1",-4.96035531117233,1
"331-1-1","1","331","M",192,"2020-10-13 21:15:00",2020-10-13,21,10,2020,287,0,0,0.000834089827655969,0.00325721816990195,-0.0905203127137434,0.136014053308673,2.31660920542996,1.95454657520574,"yes",0.771534170892113,"331-1",-5.45913934376601,1
"331-1-1","1","331","M",192,"2020-10-13 21:30:00",2020-10-13,21,10,2020,287,-0.000919086881000952,0.000982665338134084,-0.000258890957133134,0.0165052124524781,-0.0905203127137434,0.136014053308673,2.31660920542996,1.95454657520574,"yes",0.771534170892113,"331-1",-4.04525658797517,1
"331-1-1","1","331","M",192,"2020-10-13 21:45:00",2020-10-13,21,10,2020,287,0.000538635084533501,0,-6.35784571331455e-05,0.00361400752025751,-0.0905203127137434,0.136014053308673,2.31660920542996,1.95454657520574,"yes",0.771534170892113,"331-1",-5.37865848935381,1
