10 : 0 : 0 : 1.64,28,162,200,18.5
10 : 0 : 0 : 1.128,27,163,201,18
10 : 0 : 0 : 1.192,26,163,198,18.5
10 : 0 : 0 : 1.256,27,163,200,18
10 : 0 : 0 : 1.320,26,162,200,18.5
10 : 0 : 0 : 1.384,27,162,200,18.5
10 : 0 : 0 : 1.448,27,162,199,18
10 : 0 : 0 : 1.512,27,163,199,18.5
10 : 0 : 0 : 1.576,26,162,199,18.5
10 : 0 : 0 : 1.640,25,162,199,18.5
10 : 0 : 0 : 1.704,27,162,199,18.5
10 : 0 : 0 : 1.768,26,161,199,18.5
10 : 0 : 0 : 1.832,27,162,199,19
10 : 0 : 0 : 1.896,28,162,199,18.5
10 : 0 : 0 : 1.960,28,162,199,18
10 : 0 : 0 : 1.1024,27,163,199,18.5
10 : 0 : 0 : 2.0,27,162,198,18.5
10 : 0 : 0 : 2.64,27,163,200,18.5
10 : 0 : 0 : 2.128,26,162,200,18
10 : 0 : 0 : 2.192,26,162,201,18.5
10 : 0 : 0 : 2.256,27,161,201,18.5
10 : 0 : 0 : 2.320,26,162,200,18
10 : 0 : 0 : 2.384,27,161,200,18.5
10 : 0 : 0 : 2.448,27,161,199,18.5
10 : 0 : 0 : 2.512,27,162,200,19
10 : 0 : 0 : 2.576,26,162,200,18.5
10 : 0 : 0 : 2.640,27,162,199,18.5
10 : 0 : 0 : 2.704,27,164,200,18.5
10 : 0 : 0 : 2.768,26,163,199,18.5
10 : 0 : 0 : 2.832,26,161,200,18.5
10 : 0 : 0 : 2.896,26,162,199,18.5
10 : 0 : 0 : 2.960,27,162,201,18.5
10 : 0 : 0 : 3.0,28,162,200,18.5
10 : 0 : 0 : 3.64,26,162,200,18.5
10 : 0 : 0 : 3.128,27,162,200,18.5
10 : 0 : 0 : 3.192,27,162,200,18.5
10 : 0 : 0 : 3.256,26,161,200,19
10 : 0 : 0 : 3.320,27,163,199,18.5
10 : 0 : 0 : 3.384,27,162,199,18.5
10 : 0 : 0 : 3.448,26,163,200,18.5
10 : 0 : 0 : 3.512,27,162,199,18.5
10 : 0 : 0 : 3.576,28,162,199,18.5
10 : 0 : 0 : 3.640,27,162,199,18.5
10 : 0 : 0 : 3.704,28,162,200,18.5
10 : 0 : 0 : 3.768,28,162,200,18.5
