10 : 0 : 0 : 1.64,83,39,232,23
10 : 0 : 0 : 1.128,83,39,232,23
10 : 0 : 0 : 1.192,84,39,231,22.5
10 : 0 : 0 : 1.256,84,39,231,23
10 : 0 : 0 : 1.320,83,38,232,23
10 : 0 : 0 : 1.384,82,39,232,23
10 : 0 : 0 : 1.448,83,39,231,22.5
10 : 0 : 0 : 1.512,83,39,233,23
10 : 0 : 0 : 1.576,85,39,231,23
10 : 0 : 0 : 1.640,83,39,232,23
10 : 0 : 0 : 1.704,83,39,231,23
10 : 0 : 0 : 1.768,81,39,232,23
10 : 0 : 0 : 1.832,83,40,232,22.5
10 : 0 : 0 : 1.896,83,39,231,22.5
10 : 0 : 0 : 1.960,83,41,232,23
10 : 0 : 0 : 1.1024,83,39,232,22.5
10 : 0 : 0 : 2.0,84,40,232,22.5
10 : 0 : 0 : 2.64,83,41,232,23
10 : 0 : 0 : 2.128,83,40,231,23
10 : 0 : 0 : 2.192,84,40,231,23
10 : 0 : 0 : 2.256,83,39,231,22.5
10 : 0 : 0 : 2.320,83,39,231,22.5
10 : 0 : 0 : 2.384,84,40,231,23
10 : 0 : 0 : 2.448,83,40,233,22.5
10 : 0 : 0 : 2.512,82,39,232,23
10 : 0 : 0 : 2.576,83,40,232,23
10 : 0 : 0 : 2.640,83,39,230,23
10 : 0 : 0 : 2.704,83,39,232,22.5
10 : 0 : 0 : 2.768,83,40,231,22.5
10 : 0 : 0 : 2.832,82,39,232,22.5
10 : 0 : 0 : 2.896,84,39,232,22.5
10 : 0 : 0 : 2.960,83,39,231,22.5
10 : 0 : 0 : 3.0,84,40,232,23
10 : 0 : 0 : 3.64,84,40,232,23
10 : 0 : 0 : 3.128,83,39,232,23
10 : 0 : 0 : 3.192,83,38,231,22.5
10 : 0 : 0 : 3.256,83,38,230,23
10 : 0 : 0 : 3.320,83,39,231,23
10 : 0 : 0 : 3.384,83,39,231,22.5
10 : 0 : 0 : 3.448,82,39,232,23
10 : 0 : 0 : 3.512,84,39,233,23
10 : 0 : 0 : 3.576,82,40,231,23
10 : 0 : 0 : 3.640,84,40,232,23
10 : 0 : 0 : 3.704,83,40,232,23
10 : 0 : 0 : 3.768,83,39,231,23
10 : 0 : 0 : 3.832,83,39,231,23
10 : 0 : 0 : 3.896,84,39,230,23
10 : 0 : 0 : 3.960,83,40,232,23
10 : 0 : 0 : 4.0,84,38,231,23
10 : 0 : 0 : 4.64,84,38,232,23
10 : 0 : 0 : 4.128,82,41,230,23
10 : 0 : 0 : 4.192,83,39,231,22.5
10 : 0 : 0 : 4.256,82,39,232,23.5
10 : 0 : 0 : 4.320,84,39,233,23
10 : 0 : 0 : 4.384,84,39,233,22.5
10 : 0 : 0 : 4.448,83,39,232,22.5
10 : 0 : 0 : 4.512,85,39,232,23
10 : 0 : 0 : 4.576,83,40,231,23
10 : 0 : 0 : 4.640,83,40,232,23
10 : 0 : 0 : 4.704,84,39,231,23
10 : 0 : 0 : 4.768,83,39,231,23
10 : 0 : 0 : 4.832,84,40,231,23
10 : 0 : 0 : 4.896,83,38,230,23
10 : 0 : 0 : 4.960,83,40,232,22.5
10 : 0 : 0 : 5.0,83,40,232,23
10 : 0 : 0 : 5.64,84,39,230,23
10 : 0 : 0 : 5.128,83,39,232,23
10 : 0 : 0 : 5.192,84,40,231,23.5
10 : 0 : 0 : 5.256,83,40,231,22.5
10 : 0 : 0 : 5.320,83,41,232,23
10 : 0 : 0 : 5.384,82,39,232,23
10 : 0 : 0 : 5.448,83,39,230,23
10 : 0 : 0 : 5.512,83,39,232,23
10 : 0 : 0 : 5.576,83,39,231,23
10 : 0 : 0 : 5.640,83,39,232,23
10 : 0 : 0 : 5.704,84,39,231,23
10 : 0 : 0 : 5.768,84,39,231,22.5
