10 : 0 : 0 : 1.64,38,53,251,23.5
10 : 0 : 0 : 1.128,37,53,251,23.5
10 : 0 : 0 : 1.192,38,53,252,23.5
10 : 0 : 0 : 1.256,37,53,253,23.5
10 : 0 : 0 : 1.320,39,52,252,23
10 : 0 : 0 : 1.384,37,53,252,23.5
10 : 0 : 0 : 1.448,37,53,253,23.5
10 : 0 : 0 : 1.512,37,53,254,23.5
10 : 0 : 0 : 1.576,37,52,252,23.5
10 : 0 : 0 : 1.640,37,51,251,23.5
10 : 0 : 0 : 1.704,38,53,252,23.5
10 : 0 : 0 : 1.768,38,54,251,23.5
10 : 0 : 0 : 1.832,38,53,252,23.5
10 : 0 : 0 : 1.896,37,53,251,23.5
10 : 0 : 0 : 1.960,38,52,252,23.5
10 : 0 : 0 : 1.1024,37,52,252,23.5
10 : 0 : 0 : 2.0,37,53,252,23.5
10 : 0 : 0 : 2.64,38,53,253,23.5
10 : 0 : 0 : 2.128,37,54,252,23.5
10 : 0 : 0 : 2.192,37,53,251,23.5
10 : 0 : 0 : 2.256,38,53,252,24
10 : 0 : 0 : 2.320,38,51,253,23.5
10 : 0 : 0 : 2.384,38,52,253,23.5
10 : 0 : 0 : 2.448,38,52,253,23.5
10 : 0 : 0 : 2.512,37,53,251,23.5
10 : 0 : 0 : 2.576,37,54,252,23.5
10 : 0 : 0 : 2.640,38,53,252,23.5
10 : 0 : 0 : 2.704,37,52,252,23.5
10 : 0 : 0 : 2.768,37,53,252,23.5
10 : 0 : 0 : 2.832,38,52,251,23.5
10 : 0 : 0 : 2.896,37,52,252,23.5
10 : 0 : 0 : 2.960,36,54,252,23.5
10 : 0 : 0 : 3.0,38,53,251,23.5
10 : 0 : 0 : 3.64,37,53,252,23.5
10 : 0 : 0 : 3.128,38,53,251,23
10 : 0 : 0 : 3.192,37,54,253,23.5
10 : 0 : 0 : 3.256,38,52,252,23.5
10 : 0 : 0 : 3.320,38,53,252,23.5
10 : 0 : 0 : 3.384,37,53,252,23.5
10 : 0 : 0 : 3.448,37,53,252,24
10 : 0 : 0 : 3.512,38,51,252,23.5
10 : 0 : 0 : 3.576,38,51,252,23
10 : 0 : 0 : 3.640,37,52,251,23.5
10 : 0 : 0 : 3.704,37,52,252,23.5
10 : 0 : 0 : 3.768,37,54,251,23.5
10 : 0 : 0 : 3.832,37,54,252,23.5
10 : 0 : 0 : 3.896,38,53,252,23.5
10 : 0 : 0 : 3.960,37,54,253,24
10 : 0 : 0 : 4.0,37,53,252,24
10 : 0 : 0 : 4.64,37,53,253,23
10 : 0 : 0 : 4.128,37,53,251,23.5
10 : 0 : 0 : 4.192,39,54,252,23.5
10 : 0 : 0 : 4.256,37,53,251,23.5
10 : 0 : 0 : 4.320,38,52,252,23.5
10 : 0 : 0 : 4.384,38,53,252,23.5
10 : 0 : 0 : 4.448,37,52,252,23.5
10 : 0 : 0 : 4.512,37,53,251,23.5
10 : 0 : 0 : 4.576,37,53,252,23.5
10 : 0 : 0 : 4.640,37,52,251,23.5
10 : 0 : 0 : 4.704,38,52,252,23.5
10 : 0 : 0 : 4.768,39,53,252,23.5
10 : 0 : 0 : 4.832,38,52,251,23.5
10 : 0 : 0 : 4.896,37,52,252,23.5
10 : 0 : 0 : 4.960,37,53,253,23.5
10 : 0 : 0 : 5.0,38,52,252,23.5
10 : 0 : 0 : 5.64,38,53,251,23.5
10 : 0 : 0 : 5.128,36,53,252,23.5
10 : 0 : 0 : 5.192,37,54,252,23.5
10 : 0 : 0 : 5.256,37,51,251,23.5
10 : 0 : 0 : 5.320,38,53,252,23.5
10 : 0 : 0 : 5.384,38,53,252,23.5
10 : 0 : 0 : 5.448,38,53,251,23.5
10 : 0 : 0 : 5.512,37,53,252,24
10 : 0 : 0 : 5.576,37,54,251,23
10 : 0 : 0 : 5.640,37,53,252,23.5
10 : 0 : 0 : 5.704,37,53,251,23.5
10 : 0 : 0 : 5.768,38,52,251,23.5
10 : 0 : 0 : 5.832,38,53,251,23.5
10 : 0 : 0 : 5.896,38,54,252,23.5
10 : 0 : 0 : 5.960,37,53,251,23.5
10 : 0 : 0 : 6.0,38,52,254,23.5
10 : 0 : 0 : 6.64,37,52,251,23.5
10 : 0 : 0 : 6.128,37,54,253,24
10 : 0 : 0 : 6.192,38,53,253,23.5
10 : 0 : 0 : 6.256,38,54,253,23.5
10 : 0 : 0 : 6.320,38,53,251,23.5
10 : 0 : 0 : 6.384,37,53,251,23.5
10 : 0 : 0 : 6.448,37,53,253,23.5
10 : 0 : 0 : 6.512,37,53,253,23.5
10 : 0 : 0 : 6.576,38,53,252,23.5
10 : 0 : 0 : 6.640,37,53,252,23.5
10 : 0 : 0 : 6.704,37,53,253,23.5
10 : 0 : 0 : 6.768,36,53,252,23.5
10 : 0 : 0 : 6.832,38,52,252,23.5
10 : 0 : 0 : 6.896,38,52,251,24
10 : 0 : 0 : 6.960,37,54,252,23.5
10 : 0 : 0 : 7.0,38,53,253,23.5
10 : 0 : 0 : 7.64,37,53,253,23.5
10 : 0 : 0 : 7.128,39,53,252,24
10 : 0 : 0 : 7.192,37,52,253,23.5
10 : 0 : 0 : 7.256,37,52,253,24
10 : 0 : 0 : 7.320,37,53,253,23.5
10 : 0 : 0 : 7.384,36,53,252,23.5
10 : 0 : 0 : 7.448,37,53,252,23.5
10 : 0 : 0 : 7.512,38,53,252,23.5
10 : 0 : 0 : 7.576,38,53,252,23.5
10 : 0 : 0 : 7.640,37,52,253,23.5
10 : 0 : 0 : 7.704,37,53,251,23.5
10 : 0 : 0 : 7.768,38,54,252,24
10 : 0 : 0 : 7.832,37,53,253,23.5
10 : 0 : 0 : 7.896,38,53,253,23.5
10 : 0 : 0 : 7.960,37,53,253,23.5
10 : 0 : 0 : 8.0,38,54,253,23.5
10 : 0 : 0 : 8.64,38,53,252,23.5
10 : 0 : 0 : 8.128,38,53,251,23.5
10 : 0 : 0 : 8.192,38,53,253,23.5
10 : 0 : 0 : 8.256,37,52,252,23.5
10 : 0 : 0 : 8.320,37,53,253,23.5
10 : 0 : 0 : 8.384,37,53,252,23.5
10 : 0 : 0 : 8.448,37,54,253,23.5
10 : 0 : 0 : 8.512,36,52,253,23.5
10 : 0 : 0 : 8.576,37,53,252,23.5
10 : 0 : 0 : 8.640,36,54,252,23.5
10 : 0 : 0 : 8.704,38,53,252,23.5
10 : 0 : 0 : 8.768,38,54,251,24
10 : 0 : 0 : 8.832,37,53,253,23.5
10 : 0 : 0 : 8.896,36,53,252,23.5
10 : 0 : 0 : 8.960,38,52,251,23.5
10 : 0 : 0 : 9.0,37,53,252,23.5
10 : 0 : 0 : 9.64,37,52,253,23.5
10 : 0 : 0 : 9.128,37,53,251,23.5
10 : 0 : 0 : 9.192,37,54,252,23.5
10 : 0 : 0 : 9.256,37,54,253,24
10 : 0 : 0 : 9.320,38,53,250,24
10 : 0 : 0 : 9.384,38,54,253,23.5
10 : 0 : 0 : 9.448,37,54,253,23.5
10 : 0 : 0 : 9.512,37,53,252,23.5
10 : 0 : 0 : 9.576,37,53,252,23.5
10 : 0 : 0 : 9.640,37,52,253,23.5
10 : 0 : 0 : 9.704,38,53,253,23.5
10 : 0 : 0 : 9.768,38,53,252,23.5
10 : 0 : 0 : 9.832,37,52,252,23.5
10 : 0 : 0 : 9.896,37,52,252,23.5
10 : 0 : 0 : 10.0,38,53,253,24
10 : 0 : 0 : 10.64,38,53,251,24
10 : 0 : 0 : 10.128,37,52,251,23.5
10 : 0 : 0 : 10.192,37,52,252,24
10 : 0 : 0 : 10.256,38,53,253,24
10 : 0 : 0 : 10.320,39,52,253,23.5
10 : 0 : 0 : 10.384,37,53,251,24
10 : 0 : 0 : 10.448,38,54,253,23.5
10 : 0 : 0 : 10.512,37,52,252,23.5
10 : 0 : 0 : 10.576,38,53,252,23.5
10 : 0 : 0 : 10.640,37,53,252,23.5
10 : 0 : 0 : 10.704,37,52,252,23.5
10 : 0 : 0 : 10.768,37,54,253,23.5
10 : 0 : 0 : 10.832,38,53,252,23.5
10 : 0 : 0 : 10.896,39,52,252,23.5
10 : 0 : 0 : 10.960,38,52,251,23.5
10 : 0 : 0 : 11.0,38,52,252,23
10 : 0 : 0 : 11.64,38,53,251,23.5
10 : 0 : 0 : 11.128,37,53,253,23.5
10 : 0 : 0 : 11.192,37,53,253,23.5
10 : 0 : 0 : 11.256,37,53,252,23.5
10 : 0 : 0 : 11.320,37,52,252,23.5
10 : 0 : 0 : 11.384,37,54,252,23.5
10 : 0 : 0 : 11.448,38,53,251,23
10 : 0 : 0 : 11.512,37,54,251,23.5
10 : 0 : 0 : 11.576,38,54,251,23.5
10 : 0 : 0 : 11.640,39,53,252,23.5
10 : 0 : 0 : 11.704,37,53,252,23.5
10 : 0 : 0 : 11.768,38,53,252,23.5
10 : 0 : 0 : 11.832,38,52,252,23.5
10 : 0 : 0 : 11.896,37,53,253,23.5
10 : 0 : 0 : 11.960,37,52,252,24
10 : 0 : 0 : 12.0,38,53,252,23.5
10 : 0 : 0 : 12.64,37,54,251,24
10 : 0 : 0 : 12.128,39,53,253,23.5
10 : 0 : 0 : 12.192,38,53,253,23.5
10 : 0 : 0 : 12.256,38,53,252,23.5
10 : 0 : 0 : 12.320,38,53,252,23.5
10 : 0 : 0 : 12.384,39,52,252,23.5
10 : 0 : 0 : 12.448,39,53,252,23.5
10 : 0 : 0 : 12.512,37,53,252,23.5
10 : 0 : 0 : 12.576,38,52,252,23.5
10 : 0 : 0 : 12.640,38,53,252,23.5
10 : 0 : 0 : 12.704,39,53,252,23.5
10 : 0 : 0 : 12.768,37,53,251,24
10 : 0 : 0 : 12.832,38,52,253,23.5
10 : 0 : 0 : 12.896,37,53,252,23.5
10 : 0 : 0 : 12.960,38,52,253,24
10 : 0 : 0 : 13.0,38,52,253,23.5
10 : 0 : 0 : 13.64,37,52,252,24
10 : 0 : 0 : 13.128,38,53,252,23.5
10 : 0 : 0 : 13.192,38,53,253,23.5
10 : 0 : 0 : 13.256,38,53,252,23.5
